x,y,z,bx,by,bz
0.1443375672974064,0.0,-0.15,0.1182158489498893,0.3950961794253764,1021.3731750747348
0.1443375672974064,0.0,-0.075,0.0977546205264376,0.3954090671440251,1021.3422940896122
0.1443375672974064,0.0,0.0,0.0819507968387155,0.3921787006632351,1021.3129063210704
0.1443375672974064,0.0,0.0749999999999999,0.0694897405299232,0.3844060934442979,1021.2827332895672
0.1443375672974064,0.0,0.15,0.0544378614905238,0.3728950383164081,1021.2541715811732
0.1421447553254071,0.0250639555300725,-0.15,0.1120421402853859,0.3885665238156901,1021.3712267483672
0.1421447553254071,0.0250639555300725,-0.075,0.0914490113690195,0.3886853014800054,1021.3399782505456
0.1421447553254071,0.0250639555300725,0.0,0.0775777460920877,0.3854912058292571,1021.3101892720262
0.1421447553254071,0.0250639555300725,0.0749999999999999,0.0659735601125205,0.3781890047095548,1021.2800412826252
0.1421447553254071,0.0250639555300725,0.15,0.0519945815190066,0.3662787039480745,1021.2509192533108
0.1356329468915622,0.0493663554543373,-0.15,0.1013814965539983,0.3833994049999622,1021.3694103609528
0.1356329468915622,0.0493663554543373,-0.075,0.0829803435884623,0.3830648771136526,1021.3374419704732
0.1356329468915622,0.0493663554543373,0.0,0.0708784457633705,0.3797356412066131,1021.3075252010566
0.1356329468915622,0.0493663554543373,0.0749999999999999,0.0593123934268546,0.3718999245735116,1021.2771445741364
0.1356329468915622,0.0493663554543373,0.15,0.0465217011694554,0.36003757412093,1021.2472785400248
0.125,0.0721687836487032,-0.15,0.0897154928071008,0.3802237433390906,1021.368353853288
0.125,0.0721687836487032,-0.075,0.0723821302228361,0.3785864325053019,1021.335194923824
0.125,0.0721687836487032,0.0,0.0612166341432264,0.374862880812451,1021.30479898701
0.125,0.0721687836487032,0.0749999999999999,0.0513136669433263,0.3666795817624007,1021.2734938060516
0.125,0.0721687836487032,0.15,0.039964718446627,0.354033452876233,1021.2438781745468
0.1105689913614897,0.0927783998710698,-0.15,0.0746102094221252,0.3785182183041424,1021.3668319206926
0.1105689913614897,0.0927783998710698,-0.075,0.0589729367111684,0.3756066642388916,1021.3324980082836
0.1105689913614897,0.0927783998710698,0.0,0.0488075649236661,0.3707880782665623,1021.3013885796112
0.1105689913614897,0.0927783998710698,0.0749999999999999,0.0405054209681874,0.3626072011892717,1021.2698921644558
0.1105689913614897,0.0927783998710698,0.15,0.0303855444235578,0.3490050341242005,1021.2398522514565
0.0927783998710699,0.1105689913614897,-0.15,0.0583681575653282,0.3773963879205222,1021.3650392091108
0.0927783998710699,0.1105689913614897,-0.075,0.0444937753389201,0.3734682900963451,1021.3301570073472
0.0927783998710699,0.1105689913614897,0.0,0.0352493469968557,0.3680818241154272,1021.298494491662
0.0927783998710699,0.1105689913614897,0.0749999999999999,0.0280416329425518,0.3586632650237022,1021.2665765137864
0.0927783998710699,0.1105689913614897,0.15,0.0191321809721032,0.3452656344617611,1021.2362660413546
0.0721687836487032,0.1249999999999999,-0.15,0.0407906749327727,0.37851402734838,1021.3644989233056
0.0721687836487032,0.1249999999999999,-0.075,0.0287185258012086,0.3729530126175134,1021.3283308081852
0.0721687836487032,0.1249999999999999,0.0,0.0204259450596792,0.3665888286997441,1021.2955831952632
0.0721687836487032,0.1249999999999999,0.0749999999999999,0.0138697348450443,0.3564675077108257,1021.2634695530296
0.0721687836487032,0.1249999999999999,0.15,0.0069326037810953,0.3420066095445543,1021.233020071232
